Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Monthly Charges,Total Charges,CLTV,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
1,0,0,0,1,1,0,0,0,0,0,0,0,1,69.9,69.9,5367,False,False,True,False,False,True,False
1,1,1,0,43,1,0,1,1,0,1,1,0,1,103.0,4414.3,2505,False,True,True,False,False,True,False
0,1,1,0,55,1,0,1,1,0,0,0,0,1,85.45,4874.7,5502,False,True,True,False,False,True,False
1,0,0,0,33,1,0,1,1,0,0,0,0,1,79.0,2576.8,4396,False,False,True,False,True,False,False
0,1,1,0,31,1,0,0,1,1,1,1,0,1,98.9,2911.3,4050,False,False,True,False,False,True,False
0,0,0,0,19,1,0,0,0,0,0,1,0,1,56.2,1093.4,3384,False,False,False,False,False,True,False
1,0,1,0,1,1,0,0,0,0,0,0,0,1,71.0,71.0,4207,False,False,True,False,False,True,False
1,0,0,0,34,1,0,0,0,0,0,0,0,0,19.7,675.6,4136,False,False,False,True,False,False,True
0,0,0,0,8,1,0,0,0,0,1,0,0,1,87.05,762.1,2545,False,True,True,False,False,True,False
0,0,0,0,8,1,0,0,0,0,0,0,0,0,44.45,369.3,4909,False,False,False,False,False,False,True
0,0,1,0,10,1,1,0,0,0,0,0,0,1,78.15,765.15,3403,False,True,True,False,True,False,False
0,0,1,0,53,1,1,1,1,0,1,1,1,1,106.1,5769.75,4471,False,False,True,False,False,False,False
1,0,1,0,56,1,0,1,0,0,1,1,1,0,100.3,5614.45,5170,False,True,True,False,True,False,False
0,0,0,0,7,0,0,1,0,0,0,1,0,1,40.1,293.3,4414,True,False,False,False,True,False,False
0,1,1,1,4,1,0,0,0,0,0,0,0,0,46.0,181.6,4797,False,False,False,False,False,True,False
1,0,0,0,2,1,0,0,0,0,0,0,0,0,19.35,46.35,5863,False,False,False,True,False,False,True
0,1,0,0,18,1,0,0,0,0,0,0,1,0,20.35,369.6,4713,False,False,False,True,False,False,False
1,0,0,1,5,1,0,0,0,0,0,0,0,0,20.2,83.75,5169,False,False,False,True,False,False,True
1,0,0,1,1,0,0,0,0,0,0,0,0,1,24.7,24.7,3518,True,False,False,False,False,True,False
1,0,1,1,9,1,0,0,1,0,1,0,1,1,90.35,767.9,2993,False,True,True,False,False,True,False
0,0,1,0,47,1,0,0,0,0,0,0,1,0,26.9,1250.85,2382,False,True,False,True,False,True,False
1,0,0,0,50,0,1,1,0,0,0,0,0,1,35.0,1782.4,5629,True,False,False,False,False,False,True
0,0,0,0,4,0,1,0,1,0,0,0,0,0,35.0,135.75,3523,True,False,False,False,False,False,True
1,0,0,0,18,1,0,0,1,0,1,0,1,1,89.6,1633.0,2269,False,True,True,False,True,False,False
1,0,0,0,64,1,0,0,1,1,1,1,1,1,104.65,6889.8,6443,False,True,True,False,True,False,False
0,0,0,0,48,1,0,1,0,0,0,0,1,0,75.15,3772.65,3345,False,False,True,False,False,True,False
1,0,0,0,1,1,0,0,0,0,0,0,0,1,24.05,24.05,3162,False,True,False,True,False,False,True
0,1,1,0,42,1,0,1,1,0,1,0,0,1,95.55,3930.6,4121,False,True,True,False,False,True,False
0,1,1,0,62,1,0,1,1,0,1,0,1,1,97.95,5936.55,5428,False,True,True,False,True,False,False
1,0,1,1,25,1,0,0,0,0,0,0,1,0,19.6,411.15,2888,False,False,False,True,False,True,False
0,0,1,1,22,1,0,0,0,0,0,0,0,1,75.8,1615.1,4479,False,True,True,False,False,False,False
0,0,0,0,10,1,0,1,0,0,0,0,0,1,80.05,830.7,3740,False,True,True,False,False,False,False
1,0,0,0,13,1,0,0,0,0,0,0,0,1,70.15,931.75,4599,False,False,True,False,False,True,False
0,0,1,0,72,1,1,1,0,0,1,1,1,1,104.15,7303.05,4594,False,True,True,False,False,True,False
0,0,0,0,1,1,0,0,0,0,1,1,0,0,90.6,90.6,2540,False,False,True,False,False,True,False
0,1,0,0,67,1,0,1,0,0,0,0,0,0,54.9,3725.5,4826,False,True,False,False,False,True,False
1,0,0,0,38,1,0,1,1,0,0,1,0,1,95.1,3691.2,5393,False,True,True,False,True,False,False
0,0,1,0,6,1,0,0,0,1,0,0,0,1,80.5,502.85,5032,False,True,True,False,False,True,False
0,1,0,0,11,1,0,0,0,0,0,1,0,1,84.8,906.85,5118,False,True,True,False,True,False,False
1,0,0,0,3,1,0,0,0,1,0,1,0,0,60.65,196.9,2111,False,False,False,False,False,False,True
1,0,0,0,3,1,1,0,0,0,0,1,0,1,86.05,244.85,2500,False,False,True,False,False,False,True
0,0,1,1,59,1,0,1,0,1,0,1,0,1,96.65,5580.8,5266,False,True,True,False,False,False,False
1,0,0,0,63,1,1,1,1,1,0,0,1,0,71.5,4576.3,5342,False,True,False,False,False,True,False
1,0,0,0,43,1,1,1,1,1,0,0,1,1,90.65,3882.3,2496,False,False,True,False,True,False,False
1,0,1,0,10,1,0,0,0,0,1,0,0,1,79.95,857.2,5640,False,False,True,False,False,True,False
1,0,0,0,3,1,0,0,0,0,0,0,0,1,70.3,220.4,4275,False,False,True,False,False,False,True
1,0,1,0,11,1,0,0,0,0,0,0,0,1,45.9,521.9,3880,False,False,False,False,False,False,False
1,0,0,0,1,1,1,0,0,0,0,0,0,0,51.25,51.25,4483,False,False,False,False,False,False,True
1,0,1,1,30,1,0,1,0,1,0,0,0,1,83.55,2570.2,3558,False,True,True,False,False,False,False
1,0,1,1,5,1,0,1,0,0,0,0,0,1,80.15,385.0,5124,False,True,True,False,False,True,False
1,0,0,0,2,1,1,1,0,0,1,1,0,0,100.2,198.5,4855,False,False,True,False,False,True,False
0,0,1,0,68,1,0,1,1,0,0,0,1,0,86.45,5762.95,4480,False,True,True,False,True,False,False
1,0,1,0,65,1,1,0,1,0,1,1,0,1,104.25,6812.95,5089,False,True,True,False,False,True,False
0,0,1,0,21,1,0,0,1,1,0,0,1,0,79.2,1742.45,4900,False,False,True,False,False,True,False
1,0,0,0,2,1,0,0,0,0,0,0,0,0,20.75,44.2,3976,False,False,False,True,False,False,True
1,0,1,1,50,1,0,0,0,0,0,0,1,1,44.8,2230.85,6115,False,False,False,False,False,False,False
0,0,0,0,8,1,0,0,0,1,0,0,0,0,49.4,408.25,2907,False,False,False,False,False,True,False
0,0,1,0,42,1,0,0,0,0,1,1,0,1,94.2,4186.3,5458,False,True,True,False,False,True,False
0,0,0,0,62,1,1,1,1,0,0,0,1,1,92.05,5755.8,5801,False,True,True,False,False,True,False
0,0,1,1,43,0,1,0,1,1,1,1,1,1,60.4,2640.55,2725,True,False,False,False,True,False,False
0,0,0,0,7,1,0,0,0,0,0,0,0,0,20.35,150.6,3098,False,False,False,True,False,False,True
1,0,1,0,9,1,0,1,1,0,0,1,0,1,69.05,653.95,2907,False,True,False,False,True,False,False
1,0,1,1,56,0,1,1,0,1,1,0,1,1,52.0,2884.9,5845,True,False,False,False,False,False,True
1,0,0,1,4,1,1,0,0,0,0,0,0,1,49.4,184.4,4455,False,False,False,False,False,True,False
1,0,0,0,41,0,0,0,1,0,1,1,1,1,51.35,2075.1,5622,True,False,False,False,False,True,False
0,0,0,0,18,1,1,0,0,0,0,0,0,1,75.4,1380.4,4792,False,False,True,False,False,True,False
0,0,1,0,71,1,1,0,1,0,1,1,1,1,104.1,7412.25,4695,False,True,True,False,True,False,False
0,0,1,1,48,0,1,0,1,0,0,1,1,0,45.0,2196.3,5269,True,False,False,False,True,False,False
1,0,1,0,48,1,0,1,1,0,0,1,1,1,70.55,3420.5,3997,False,True,False,False,True,False,False
1,0,0,0,10,1,0,0,0,0,0,0,0,1,20.0,198.6,4802,False,False,False,True,True,False,False
1,1,1,0,1,0,0,0,0,0,0,0,0,0,25.05,25.05,2119,True,False,False,False,False,True,False
1,0,0,1,21,1,1,0,0,0,0,0,0,0,80.35,1747.2,4579,False,True,True,False,False,True,False
0,1,1,0,63,1,0,1,1,0,1,1,0,1,103.5,6479.4,5187,False,True,True,False,False,True,False
1,0,1,0,42,0,0,1,1,0,0,1,1,1,45.1,2049.05,3844,True,False,False,False,True,False,False
1,0,1,1,2,1,0,0,0,0,0,0,0,0,69.95,143.9,5010,False,False,True,False,False,False,True
1,0,0,1,7,1,0,0,0,0,0,0,1,0,19.45,136.75,5084,False,False,False,True,False,False,True
0,0,1,0,12,1,0,1,0,0,0,0,0,1,51.25,612.1,3097,False,False,False,False,False,True,False
0,0,0,0,2,1,0,0,0,0,0,0,0,0,69.65,145.15,2323,False,False,True,False,False,True,False
0,0,0,0,32,1,0,0,1,0,1,1,0,1,101.35,3334.9,4341,False,True,True,False,False,True,False
0,0,0,1,1,1,1,0,0,1,0,0,0,0,54.5,54.5,4359,False,False,False,False,False,True,False
1,1,1,0,19,0,0,1,1,0,0,0,0,1,34.3,577.15,4615,True,False,False,False,True,False,False
0,1,0,0,27,1,0,0,0,0,0,1,0,1,85.25,2287.25,5172,False,True,True,False,False,True,False
1,1,0,0,64,1,0,0,1,1,1,1,1,0,102.1,6688.1,6100,False,True,True,False,False,True,False
0,0,0,0,18,1,0,1,0,0,1,0,0,1,90.0,1527.35,2708,False,True,True,False,True,False,False
0,1,0,0,1,1,0,1,0,0,0,1,0,1,86.0,86.0,5359,False,False,True,False,False,True,False
1,0,1,0,12,1,0,0,1,1,1,1,0,1,74.15,741.4,5426,False,False,False,False,False,True,False
0,1,1,0,7,1,0,0,0,0,0,1,0,1,84.55,646.85,5245,False,True,True,False,False,True,False
0,0,1,1,7,0,1,0,0,1,0,0,0,0,34.65,246.6,5996,True,False,False,False,False,False,True
1,1,0,0,12,0,0,1,0,0,0,0,0,1,29.35,381.2,3606,True,False,False,False,True,False,False
0,0,0,0,2,1,0,0,0,0,0,0,0,0,45.55,84.4,4372,False,False,False,False,False,True,False
1,0,0,0,8,1,0,0,0,0,0,0,0,0,70.7,553.4,4946,False,False,True,False,False,False,False
1,0,0,0,16,1,0,0,0,0,0,0,0,0,20.0,275.7,3705,False,False,False,True,False,False,True
0,0,1,0,49,1,0,0,0,0,0,0,0,1,52.15,2583.75,5224,False,True,False,False,True,False,False
0,0,0,0,12,1,0,0,1,1,0,1,0,1,89.4,1095.65,5047,False,False,True,False,False,True,False
0,0,1,1,52,1,0,0,1,0,0,0,1,1,50.95,2610.65,4298,False,False,False,False,False,False,False
1,0,0,0,1,1,0,0,0,1,0,0,0,0,49.0,49.0,5289,False,False,False,False,True,False,False
1,0,1,0,28,1,0,1,1,0,1,0,0,0,96.6,2684.35,5530,False,True,True,False,True,False,False
1,0,0,0,26,1,0,0,0,0,0,0,1,1,51.55,1295.4,3130,False,True,False,False,True,False,False
0,0,0,0,4,1,0,0,0,0,0,0,0,1,46.0,193.6,5246,False,False,False,False,False,False,True
1,0,0,0,3,1,0,0,0,0,0,0,0,1,20.5,76.95,5296,False,False,False,True,False,True,False
0,0,0,0,7,1,0,1,0,0,0,0,0,1,78.55,522.95,4025,False,True,True,False,False,False,False
1,0,0,0,40,1,0,1,1,0,1,1,0,1,102.65,4108.15,3655,False,True,True,False,False,False,True
0,0,0,0,4,1,0,0,0,0,0,0,0,0,50.7,214.55,4288,False,True,False,False,False,True,False
1,0,1,0,33,1,0,0,0,0,0,0,0,1,44.55,1462.6,2422,False,False,False,False,True,False,False
1,0,1,0,1,0,0,1,0,0,0,0,0,0,30.2,30.2,2915,True,False,False,False,False,True,False
0,0,1,0,49,0,1,0,0,0,1,0,0,0,40.65,2070.75,5565,True,False,False,False,False,False,False
1,0,1,1,40,1,0,0,1,0,1,0,1,1,85.05,3355.65,5904,False,False,True,False,False,True,False
1,0,0,0,9,1,0,0,0,0,1,0,0,1,85.35,758.6,2752,False,True,True,False,False,True,False
1,0,0,0,16,1,0,1,0,0,0,0,0,1,80.55,1248.9,5183,False,True,True,False,False,False,True
1,0,1,0,31,1,1,1,0,1,0,1,1,1,75.25,2344.5,4258,False,True,False,False,False,False,False
0,1,1,0,66,0,0,1,1,0,1,0,1,0,45.55,3027.25,6238,True,False,False,False,False,False,False
1,0,0,0,53,1,0,1,0,1,0,0,0,1,80.6,4348.1,6113,False,False,True,False,False,False,True
1,0,1,0,30,1,0,0,0,0,0,0,1,0,19.8,576.65,4006,False,False,False,True,True,False,False
0,0,0,0,3,1,0,1,0,0,1,1,0,0,95.4,293.15,2813,False,False,True,False,False,True,False
1,1,0,0,23,1,0,1,1,0,1,1,0,1,106.4,2483.5,5507,False,True,True,False,False,True,False
1,0,0,0,18,1,1,0,1,0,1,0,0,0,69.5,1199.4,4466,False,True,False,False,False,False,True
0,0,0,0,6,1,0,1,0,0,0,1,0,1,85.95,514.6,3291,False,False,True,False,False,False,True
1,1,0,0,11,1,0,1,1,1,1,1,0,1,111.4,1183.05,3175,False,True,True,False,False,True,False
0,0,1,0,56,1,0,0,1,1,1,1,0,1,98.7,5669.5,5141,False,False,True,False,False,True,False
1,0,1,1,13,1,1,0,0,0,0,0,0,1,49.95,587.45,5764,False,False,False,False,False,False,True
0,0,0,0,1,1,0,0,1,0,0,0,0,1,79.55,79.55,5571,False,True,True,False,False,False,True
0,0,1,0,20,1,0,0,0,0,0,0,1,1,20.0,416.45,3585,False,False,False,True,False,False,True
0,0,0,0,46,1,0,0,1,0,0,0,0,1,74.8,3548.3,3395,False,False,True,False,True,False,False
1,0,0,1,4,1,1,0,0,0,0,0,0,0,49.35,219.65,5858,False,False,False,False,False,True,False
1,0,0,0,45,1,1,1,1,1,1,1,1,0,112.2,5031.85,3091,False,False,True,False,True,False,False
0,0,0,0,56,1,0,1,0,1,1,1,0,1,105.45,5916.95,4212,False,True,True,False,False,False,False
0,0,0,0,37,0,0,0,0,1,0,0,0,0,28.6,973.55,4429,True,False,False,False,True,False,False
1,0,0,0,49,1,0,1,0,0,1,1,0,0,98.7,4920.55,6148,False,True,True,False,False,True,False
1,0,1,0,69,1,1,1,1,1,0,1,1,1,107.2,7317.1,5935,False,True,True,False,True,False,False
1,0,1,0,8,1,0,0,0,0,0,1,0,1,85.65,659.45,2512,False,True,True,False,False,False,False
0,0,1,1,55,1,1,1,0,0,0,0,0,1,85.1,4600.95,4026,False,True,True,False,False,True,False
1,0,0,1,30,1,0,0,0,0,0,0,1,0,25.35,723.3,5915,False,True,False,True,False,False,False
0,0,0,0,2,1,0,0,0,0,1,1,0,1,96.0,174.8,3391,False,True,True,False,False,True,False
0,0,1,0,63,1,1,1,1,0,1,0,0,1,100.55,6215.35,5413,False,True,True,False,False,True,False
0,0,0,0,4,1,0,0,0,0,0,0,1,0,23.9,97.5,5685,False,True,False,True,False,True,False
1,0,0,0,51,1,0,0,1,0,0,0,0,0,80.0,4242.35,4769,False,True,True,False,True,False,False
1,0,1,0,7,0,1,1,0,0,0,0,0,0,34.2,256.6,5100,True,False,False,False,False,False,True
0,0,0,0,1,1,1,0,0,0,0,0,0,0,50.15,50.15,4421,False,False,False,False,False,True,False
1,0,1,0,3,1,0,0,1,0,0,0,0,1,50.15,168.15,3273,False,False,False,False,False,True,False
1,0,1,0,17,1,1,0,1,0,1,0,0,1,89.4,1539.45,2544,False,False,True,False,False,True,False
0,1,1,0,1,1,0,0,0,0,0,0,0,1,69.25,69.25,4568,False,False,True,False,False,True,False
1,0,0,0,27,1,0,0,0,1,0,0,0,1,79.5,2180.55,2518,False,True,True,False,False,True,False
0,0,0,0,44,1,0,1,1,0,0,0,0,1,84.8,3862.55,3997,False,True,True,False,False,False,False
1,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,3144,False,False,False,False,False,False,False
1,0,1,0,25,1,0,0,0,0,1,1,1,1,90.4,2178.6,5801,False,False,True,False,False,True,False
1,0,0,0,30,1,0,1,0,0,1,1,1,1,97.0,3021.3,4126,False,False,True,False,False,False,False
0,0,0,0,17,1,0,0,0,0,0,0,1,0,19.9,323.15,2093,False,False,False,True,False,False,False
1,0,1,1,1,1,0,0,0,0,1,1,0,1,90.1,90.1,4142,False,False,True,False,False,True,False
0,0,1,0,31,1,0,1,0,0,0,1,0,1,83.85,2674.15,4283,False,False,True,False,False,False,False
0,0,0,0,30,1,1,1,0,0,0,0,0,1,55.3,1530.6,2725,False,False,False,False,False,False,False
0,1,0,0,41,1,0,0,1,1,1,1,1,1,101.1,4016.2,2227,False,False,True,False,False,False,False
0,0,0,0,48,1,0,0,0,0,0,0,1,0,24.35,1133.7,4200,False,True,False,True,False,False,False
1,0,0,0,56,1,1,0,0,1,1,1,0,1,105.35,5794.45,5680,False,True,True,False,False,False,True
1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.65,19.65,5717,False,False,False,True,False,False,True
1,0,1,0,2,1,0,0,1,0,1,0,0,1,91.45,171.45,4889,False,True,True,False,False,True,False
0,0,0,0,14,1,0,0,1,0,0,0,0,1,80.45,1072.0,4155,False,True,True,False,False,True,False
1,0,1,0,17,1,0,0,0,0,1,0,0,0,80.85,1400.85,5174,False,False,True,False,False,True,False
1,0,1,0,38,1,1,1,0,0,0,0,0,1,79.45,3013.05,2405,False,False,True,False,False,True,False
0,0,0,0,1,1,0,0,0,0,0,0,0,1,50.1,50.1,5617,False,True,False,False,False,True,False
1,0,0,0,19,1,0,0,0,1,1,0,0,1,61.55,1093.2,5831,False,False,False,False,True,False,False
0,1,0,0,41,1,0,1,1,0,1,1,0,1,104.4,4133.95,4477,False,True,True,False,False,True,False
0,0,1,1,58,1,0,0,0,0,0,0,1,1,44.1,2413.05,5040,False,False,False,False,False,False,True
1,1,0,0,50,1,0,0,0,0,1,1,0,1,95.7,4816.7,4287,False,True,True,False,False,True,False
0,0,0,0,1,1,0,0,0,0,1,1,0,0,95.65,95.65,3473,False,True,True,False,False,False,True
1,1,0,0,11,1,0,0,0,0,0,1,0,1,78.5,874.2,4333,False,False,True,False,False,True,False
0,0,0,0,54,1,0,1,1,0,1,0,1,1,94.75,5121.75,5665,False,True,True,False,False,False,False
0,0,0,1,4,1,0,0,0,0,0,0,0,1,20.05,85.5,4462,False,False,False,True,False,False,False
1,1,1,0,71,1,1,1,1,0,1,1,0,1,107.5,7713.55,5775,False,True,True,False,False,True,False
1,0,0,0,1,1,0,1,0,0,0,1,0,1,85.0,85.0,5754,False,False,True,False,False,True,False
1,0,1,1,47,1,0,1,0,0,0,0,0,0,54.25,2538.2,2320,False,True,False,False,False,True,False
1,1,1,0,27,0,1,0,0,0,0,0,0,0,30.75,805.1,2927,True,False,False,False,True,False,False
1,0,0,0,27,1,0,0,0,0,0,0,0,1,69.05,1793.25,3241,False,False,True,False,False,False,True
1,0,0,0,13,0,1,0,0,1,1,0,0,1,45.55,597.0,4856,True,False,False,False,True,False,False
0,0,0,1,8,1,0,0,1,0,1,1,0,1,99.65,820.5,5372,False,True,True,False,False,True,False
1,1,0,0,47,1,0,0,0,0,1,0,0,1,86.05,3865.6,5527,False,True,True,False,True,False,False
0,1,1,0,54,1,1,1,1,1,1,1,1,1,115.6,6431.05,4337,False,True,True,False,False,False,False
0,0,0,0,36,1,0,0,0,0,0,0,1,1,19.25,679.8,4904,False,False,False,True,False,False,False
0,0,0,0,2,1,0,0,0,0,0,0,0,0,68.95,119.75,5225,False,False,True,False,False,True,False
0,0,0,0,11,1,0,0,0,0,1,1,0,1,64.9,716.1,2775,False,False,False,False,False,True,False
0,0,1,0,53,1,0,0,0,1,0,1,1,1,91.15,4862.5,6439,False,True,True,False,False,True,False
1,1,0,0,55,0,1,1,0,0,1,0,0,1,44.85,2479.05,5829,True,False,False,False,False,True,False
0,0,0,1,19,1,1,1,0,1,1,0,0,1,75.9,1375.6,4198,False,True,False,False,False,False,True
0,1,0,0,38,1,1,1,0,0,0,0,0,1,57.15,2250.65,3110,False,False,False,False,True,False,False
1,1,0,0,13,1,0,1,0,0,1,0,0,1,59.9,788.35,5254,False,False,False,False,False,True,False
1,0,0,0,34,0,0,0,0,0,0,0,0,1,25.05,852.7,3800,True,False,False,False,False,False,False
1,0,0,0,22,1,0,0,0,0,0,0,1,0,20.3,467.15,2768,False,False,False,True,True,False,False
1,0,1,0,1,1,0,0,0,0,0,0,1,1,20.2,20.2,4160,False,False,False,True,False,True,False
0,0,0,0,9,1,0,0,0,0,0,0,0,1,20.45,147.55,2392,False,False,False,True,True,False,False
1,0,0,0,1,1,0,1,0,0,0,0,0,0,54.3,54.3,3259,False,True,False,False,False,True,False
1,0,1,0,71,1,1,1,0,1,0,0,1,1,66.85,4748.7,4117,False,True,False,False,True,False,False
0,0,0,0,68,1,1,0,0,0,0,0,0,0,54.45,3687.75,5310,False,True,False,False,False,False,True
1,0,0,0,40,1,0,0,0,1,0,0,0,1,51.1,2092.9,3355,False,False,False,False,False,True,False
1,1,1,0,25,1,1,0,0,0,0,1,1,1,89.05,2177.45,2673,False,True,True,False,False,True,False
0,0,1,1,13,1,0,0,0,0,0,0,0,1,20.45,254.5,5417,False,False,False,True,False,False,True
0,0,0,0,4,1,1,0,0,0,0,0,0,1,50.55,235.65,4164,False,False,False,False,False,False,False
1,1,1,0,10,1,0,0,0,0,0,1,0,0,85.55,851.75,3336,False,True,True,False,False,True,False
0,0,0,1,1,1,1,0,0,0,0,0,0,0,51.2,51.2,3699,False,False,False,False,False,False,True
1,0,0,0,4,1,1,0,1,0,0,0,0,0,56.75,245.15,2401,False,False,False,False,False,True,False
